rowNumber,status,carrierName,contactName,portLabel,normalizedPortLabel,resolvedOfficeName,officeConfidence,officeMatchReasons,vendorId,dbOfficeId,dbOfficeName,portId,portCode,portName,linkAction,notes,suggestions
281,vendor_not_in_master,BLPL,,Abu Dhabi,ABU DHABI,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
282,vendor_not_in_master,BLPL,,Bahrain,BAHRAIN,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
283,vendor_not_in_master,BLPL,,Bangkok,BANGKOK,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
284,vendor_not_in_master,BLPL,,Belawan,BELAWAN,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
285,vendor_not_in_master,BLPL,,Chattogram,CHATTOGRAM,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
286,vendor_not_in_master,BLPL,,Colombo,COLOMBO,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
287,vendor_not_in_master,BLPL,,Dammam,DAMMAM,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
288,vendor_not_in_master,BLPL,,Dhaka,DHAKA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
289,vendor_not_in_master,BLPL,,Doha,DOHA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
290,vendor_not_in_master,BLPL,,Haiphong,HAIPHONG,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
291,vendor_not_in_master,BLPL,,Ho Chi Minh,HO CHI MINH,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
292,vendor_not_in_master,BLPL,,Jakarta,JAKARTA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
293,vendor_not_in_master,BLPL,,Jebel Ali,JEBEL ALI,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
294,vendor_not_in_master,BLPL,,Laem Chabang,LAEM CHABANG,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
295,vendor_not_in_master,BLPL,,Male,MALE,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
296,vendor_not_in_master,BLPL,,Mongala,MONGALA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
297,vendor_not_in_master,BLPL,,Pasir Gudang,PASIR GUDANG,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
298,vendor_not_in_master,BLPL,,Penang,PENANG,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
299,vendor_not_in_master,BLPL,,Port Klang,PORT KLANG,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
300,vendor_not_in_master,BLPL,,Shanghai,SHANGHAI,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
301,vendor_not_in_master,BLPL,,Sharjah,SHARJAH,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
302,vendor_not_in_master,BLPL,,Shuwaikh,SHUWAIKH,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
303,vendor_not_in_master,BLPL,,Singapore,SINGAPORE,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
304,vendor_not_in_master,BLPL,,Sohar,SOHAR,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
305,vendor_not_in_master,BLPL,,Surabaya,SURABAYA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
306,vendor_not_in_master,BLPL,,Yangoon,YANGOON,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
374,vendor_not_in_master,Chakiat,,Bahrain,BAHRAIN,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
375,vendor_not_in_master,Chakiat,,Sohar,SOHAR,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
376,vendor_not_in_master,Chakiat,,Walvis Bay,WALVIS BAY,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
1274,vendor_not_in_master,"Conocean12 Agencies India Pvt Ltd,",,Sokhna,SOKHNA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
1598,vendor_not_in_master,Eminent Shipping,,Bahrain,BAHRAIN,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
1599,vendor_not_in_master,Eminent Shipping,,Jebel Ali,JEBEL ALI,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
1600,vendor_not_in_master,Eminent Shipping,,Lattakia,LATTAKIA,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
1601,vendor_not_in_master,Eminent Shipping,,Port Klang,PORT KLANG,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
1602,vendor_not_in_master,Eminent Shipping,,Shanghai,SHANGHAI,,,,,,,,,,none,Carrier was not found in the Mumbai or Chennai carrier master sheets.,
